dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,rain.3h,sys.pod
1751749200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-05 21:00:00,299.97,302.25,299.97,299.97,1004,1004,1002,77,0.0,40,0.38,102,0.92,,d
1751760000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-06 00:00:00,302.25,305.01,302.25,302.25,1004,1004,1002,64,0.0,32,2.45,98,2.01,,d
1751770800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-06 03:00:00,305.95,307.5,305.95,305.95,1003,1003,1001,44,0.0,4,3.51,141,2.19,,d
1751781600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-06 06:00:00,307.4,308.75,307.4,307.4,1002,1002,1000,39,0.0,4,6.24,165,4.82,,d
1751792400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-06 09:00:00,304.46,306.5,304.46,304.46,1003,1003,1001,51,0.0,1,7.34,187,7.08,,d
1751803200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2025-07-06 12:00:00,301.31,303.2,301.31,301.31,1005,1005,1003,63,0.0,0,5.21,182,5.84,,n
1751814000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2025-07-06 15:00:00,300.41,302.26,300.41,300.41,1005,1005,1003,68,0.0,74,4.0,168,4.32,,n
1751824800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-07-06 18:00:00,300.09,301.83,300.09,300.09,1004,1004,1003,69,0.0,92,2.17,153,1.85,,n
1751835600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-06 21:00:00,300.24,301.9,300.24,300.24,1005,1005,1003,67,0.0,45,1.68,93,1.47,,d
1751846400,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,0.0,2025-07-07 00:00:00,302.79,304.61,302.79,302.79,1005,1005,1004,56,0.0,23,2.11,79,2.21,,d
1751857200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-07 03:00:00,306.37,308.49,306.37,306.37,1004,1004,1002,45,0.0,7,2.43,98,3.19,,d
1751868000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-07 06:00:00,305.46,307.84,305.46,305.46,1003,1003,1001,49,0.0,41,5.03,128,5.26,,d
1751878800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-07 09:00:00,303.93,305.99,303.93,303.93,1004,1004,1002,53,0.0,10,5.04,141,5.28,,d
1751889600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2025-07-07 12:00:00,301.79,302.94,301.79,301.79,1005,1005,1003,55,0.0,54,2.5,87,2.47,,n
